;Titulo;Sinopsis;Genero
20;Westworld;"
Westworld (Almas de metal) está ambientada en un parque de atracciones futurista dirigido por el Doctor Robert Ford (Anthony Hopkins). Las instalaciones cuentan con androides cuya apariencia física es humana, y gracias a ellos los visitantes pueden introducirse en cualquier tipo de fantasía por muy oscura que sea.
La serie está ambientada en una película de 1975 del mismo nombre. Se trata de un nuevo y ambicioso proyecto que prepara HBO con la estrecha colaboración de J.J. Abrams (Star Trek, Revolution).
El reparto artístico de Westworld está repleto de estrellas hollywoodienses, entre las que destacan: Anthony Hopkins (El silencio de los corderos) como el Dr. Robert Ford, Evan Rachel Wood (True Blood) como Dolores Albernathy, Ed Harris (El show de Truman) como El Hombre de Negro, James Marsden como Teddy Flood, Rodrigo Santoro como Harlan Bell, Jeffrey Wright como Bernard Low, Shannon Woodward como Elsie King, Angela Sarafyan como Clementine Pennyfeather, Igrid Bolso Berdal como Armistice y Eddie Rouse como Kissy.
";Drama, Western, Ciencia ficción, Suspense
21;Dinastía (2017);"
    
              Este drama épico con un halo de intriga sigue a dos de las familias más ricas de América: los Carringtons y los Colbys. Su lujosa y glamorosa vida contrasta con su oscuridad, forjada desde el dinero negro y a base de traición, celos, e, incluso, asesinatos. Ambas familias viven en una constante rivalidad por controlar sus fortunas e influir en los hijos de la familia rival para intentar llevárselos a su terreno. Todo este conflicto se ve a través de las perspectivas de dos mujeres completamente opuestas, en las que no hay posibilidad de ningún tipo de tregua: Fallon Carrington, la hija del multimillonario Blake Carrington, y su futura madrasta, Cristal, una mujer hispana que se casa con uno de los hombres más poderosos de Estados Unidos. La chica Carrington, educada bajo la fuerza del poder, quiere ser el relevo de su padre en la empresa energética. Pero justo cuando ve cerca su nombramiento, llega su decepción. Aparece en escena Cristal, que se encargará de la publicidad de la empresa. Es aquí cuando estas dos mujeres comienzan su lucha, y cada una buscará a sus secuaces. Entre ellos se encuentra Sammy Jo, sobrino de Cristal, que llega para revelar los secretos de su tía.Josh Schwartz y Stephanie Savage (O.C.) son los encargados de traer este 'reboot' de la famosa serie homónima de 1981 que permaneció nueve temporadas en antena. Como guionista de la ficción encontramos a Sallie Patrick (Limitless, Revenge), y los propios Schwartz y Savage. Además, los tres son productores ejecutivos junto a Lis Rowinski (Runaways).
    
      ";Drama, Teleserie
22;The Blacklist;"
Durante décadas, el ex agente de gobierno Raymond 'Red' Reddington (James Spader) ha sido uno de los fugitivos más buscados por el FBI. Haciendo de intermediario en negocios oscuros, 'Red' es conocido por muchos como 'el conserje de la delincuencia'.Red era miembro de los servicios de información del ejército. Dejó de prestar su servicio para convertirse en  uno de los terroristas más buscados de Estados Unidos que, de forma misteriosa, ha decidido rendirse y entregarse a las autoridades. Tras esto, decide hacer al FBI una oferta un tanto enigmática: ayudar a atrapar al desaparecido terrorista Ranko Zamani, bajo la condición de hablar sólo con la agente Elisabeth Keen.Red aparentemente no tiene ningún tipo de relación con Keen, que desde entonces es la encargada de vigiliar al rendido criminal. La agente cuenta con el apoyo de su marido Tom, quien consigue mantener la pareja con vida pero que la engañó unos años atrás en secreto.
";Drama, Crimen, Suspense
23;Luis Miguel: La serie;"
Luis Miguel, la serie es una producción de Netflix, Telemundo y Gato Grande en la que se explora la vida del cantante. Un recorrido de lo personal y profesional en el que se profundiza en la vida del artista desde que nació hasta convertirse en un icono de la música latina. Y los dramas que desde pequeño y a lo largo de su vida ha tenido que sufrir, como la desaparición de su madre, la fama o las controvertidas relaciones que ha tenido hasta la actualidad.Luis Miguel nació en Puerto Rico en 1970 y es un cantante y productor musical con una trayectoria muy popular, sobre todo en América Latina. Ha sido ganador de una gran cantidad de premios relacionados con la música, como los Grammy. El puertorriqueño ha sido uno de los artistas que más copias de discos ha vendido. La ficción está protagonizada por Diego Boneta (Rebelde) en la etapa más espléndida de su carrera por la que se le llamaba ‘El sol de México ‘o ‘El Sol de América’. Esta serie biográfica ha sido creada por Gato Grande con Mark Burnett de MGM y un grupo de empresarios mexicanos. La producción cuenta con la colaboración del propio cantante.
    
      ";Biografía, Musical
24;Grimm;"
    
              David Greenwalt (co-creador de 'Buffy Cazavampiros' y 'Ángel') y Jim Kouf ('La búsqueda', 'Entre fantasmas', 'Hora Punta') firman 'Grimm', una serie policial en la que nada es lo que parece y en la que descubrimos que los cuentos de hadas que nos contaban nuestros padres no eran sólo historietas para ayudarnos a dormir. Eran advertenecias. La nueva ficción de NBC tiene todos los ingredientes del clásico procedimental, como 'Bones' o 'Fringe', aunque incluye personajes de los cuentos de hadas como los elfos, los duendes o los gnomos. La serie toma prestado el título de los famosos hermanos Grimm, la pareja de escritores alemanes a los que todos recordamos por sus célebres cuentos para niños, y nos presenta a Nick Burkhardt (David Giuntoli, 'Privileged', 'El bufete', 'Anatomía de Grey'), un detective de homicidios normal y corriente de Portland, Oregon. Al menos lo era, hasta que empieza a ver cosas extrañas... cosas que no puede explicar. Por ejemplo, a una mujer transformándose en una espeluznante arpía, o a un tipo flacucho convirtiéndose en un troll con sed de sangre. Tras la visita de su único pariente con vida, Nick descubre la verdad detrás de sus visiones: no es como el resto de las personas, y tampoco normal y corriente. Es el descendiente de un grupo de elite connocido como los Grimms, personas con la misión de detener la proliferación de criaturas sobrenaturales en el mundo.Adaptándose como todos ante los cambios, el viaje de Nick transcurre mientras resuelve espantosos crímenes junto a su compañero Hank Griffin (Russell Hornsby, 'Lincoln Heights', 'Los padres de ella', 'En terapia'). Hank nota algo raro en Nick, algo nuevo, pero tampoco puede asegurarlo y no se atreve a decírselo. Pero Hank no es el único en ayudar a nuestro protagonista. Pronto le tenderá la mano Eddie Monroe (Silas Weir Mitchell, 'Prison Break', 'El último patriota', 'Banderas de nuestros padres'), alguien que parece normal a primera vista pero que, en realidad, es un hombre lobo reformado. Como el que aparecía en 'Caperucita Roja' y otras historias por el estilo... Imagina que todos los villanos del mundo de los cuentos fueran reales y que Nick fuera el único capaz de detenerlos... Y en 'Grimm' todos los casos de asesinato tienen conexión con la fantasía. Pero no todos los personajes acaban felices comiendo perdices.
    
      ";Fantasía, Crimen
25;Jane The Virgin;"
La abuela de Jane Villanueva (Gina Rodriguez) le inculcó desde bien pequeña dos cosas importantísimas para la vida: las telenovelas son el mejor pasatiempo y la virginidad tiene que preservarse hasta el matrimonio. A sus 23 años de edad, Jane ha seguido los pasos que le indicó su abuela en el pasado y está trabajando duro para ser profesora y cumplir el sueño de ser escritora.
Por otro lado, su prometido, Michael (Brett Dier), la ha respetado en todo momento. Lo que no sabe es que su vida se pondrá patas arriba cuando se enteren de que la joven ha sido inseminada erróneamente y está embaraza, lo que dará un giro de 180º para Jane y todo su entorno.
También destacan en el reparto de 'Jane The Virgin' Justin Baldoni como Rafael, Yael Grobglas como Petra, , Andrea Navedo como Xiomara, Ivonne Coll como Alba y Jaime Camil como Rogelio. The CW es la encargada de desarrollar esta adaptación de la telenovela venezolana 'Juana La Virgen'.
";Comedia, Drama, Romántico
26;Stranger Things;"
Stranger Things (originalmente titulada Montauk) es una serie de televisión dramática de misterio que está ambientada en una localidad de Indiana. Dicho lugar adquiere fama por los extraños acontecimientos que están sucediendo, similares a los del 'Proyecto Montauk', un supuesto proyecto secreto llevado a cabo por el gobierno de los Estados Unidos en el que se realizaban experimentos con la finalidad de desarrollar técnicas de guerra psicológica.La historia narra la súbita desaparición de un niño en esta ciudad durante la década de los 80, hecho que destapa los extraños sucesos que tienen lugar en la zona, producto de una serie de experimentos que realiza el gobierno. Además, en la ciudad aparecen fuerzas sobrenaturales inquietantes y una niña muy perturbadora.Creada por Matt Duffer y Ross Duffer (Wayward Pines, Hidden), Stranger Things es una serie original de Netflix que cuenta con ocho episodios de una hora de duración. Esta producción televisiva está escrita y dirigida por los hermanos Duffer, además de estar producida por Shawn Levy (Los becarios).
    
      ";Fantasía, Suspense
27;Arrow;"
    
              Desarrollada por Greg Berlanti ('Eli Stone'), Marc Guggenheim ('Green Lantern') y Andrew Kreisberg ('Fringe'), 'Arrow' moderniza el personaje de Flecha Verde creado en 1941 por Mort Weisinger y George Papp para DC Comics. En esta nueva aventura, tras ser interpretado por el actor Justin Hartley en 'Smallville', el Arquero Esmeralda cobrará vida gracias a Stephen Amell, conocido por series como 'Hung (Superdotado)', 'Crónicas vampíricas' o 'Sensación de vivir'.La historia de 'Arrow' no será completamente fiel al cómic e inventará para el personaje una nueva historia y un nuevo mundo. Flecha Verde es un superhéroe vestido a lo Robin Hood que tiene un arco muy especial. Sus flechas no son normales, sino que tienen pegamento, redes, gas lacrimógeno e incluso kryptonita para luchar contra sus enemigos. Su identidad secreta es la del multimillonario Oliver Queen, un 'playboy' que desaparece en un naufrafio en una peligrosa isla al sur del Mar de China y que, a fuerza de sobrevivir, se convierte en un maestro arquero, de las artes marciales y del camuflaje.Aparte de Amell, 'Arrow' cuenta con Susanna Thompson ('Kings', 'NAVY'), David Ramsey ('Dexter'), Katie Cassidy ('Gossip Girl', 'Melrose Place 2.0', 'Sobrenatural') y Willa Holland ('Gossip Girl'). Thompson es Moira Queen, madre de Oliver de una gran belleza y casada de nuevo cuando su marido Robert y su hijo son dados por muertos durante cinco años tras un accidente naval; Ramsey se mete en la piel de John Diggle, un ex militar que sirvió con los Rangers en Afganistán y que se convierte en el chófer/guardaespaldas del protagonista; Cassidy encarna a Dinah 'Laurel' Lance, una abogada y ex amante de Oliver que además será la superheróina Black Canary, y Holland da vida a Thea, la hermana pequeña y lolita del joven Queen que en su ausencia ha pasado de ser una niña a jugar con los chicos y las drogas. También destaca el personaje de Tommy Merlyn, un niño rico malcriado y amigo íntimo de Oliver antes de que este volviera convertido en un héroe.David Nutter, el que realizara el piloto de 'Smallville', es el encargado de dirigir el episodio piloto de 'Arrow' basándose en un guión de Kreisberg, Berlanti y Guggenheim.
    
      ";Drama, Fantasía, Acción
28;El tirador;"
Shooter es una serie de televisión de género dramático basada en la novela best-seller Point of Impact, escrita por el autor Stephen Hunter y publicada en el año 1993. Este thriller de suspense narra la historia de Bob Lee Swagger (Ryan Phillippe, Secretos y mentiras), un experto francotirador que, desencantado con la guerra, ahora vive en el exilio, dedicando su día a día a las armas de fuego. Pronto, miembros de una organización gubernamental secreta lo intentan convencer para volver a la acción. Sin embargo, la desconfianza de Swagger servirá para que Isaac Johnson (Omar Epps, House), un ex oficial al mando de Swagger ahora convertido en agente secreto, le revele que lo necesita para una operación clandestina por la que deben frustrar un atentado contra el presidente de los Estados Unidos. No obstante, la experiencia de Swagger no será suficiente, y la misión se saldará con resultados desastrosos.Esta serie, desarrollada especialmente para USA Network, está producida por Mark Wahlberg (Boardwalk Empire), Stephen Levinson (Ballers) y Lorenzo di Bonaventura (Transformers). Además, el guión de este drama está en manos de John Hlavin (The Shield), quien también actúa como productor ejecutivo. El piloto está dirigido por Cellan Jones (Bloodline).
    
      ";Suspense, Acción
29;Teen Wolf;"
    
              MTV revitaliza para la pequeña pantalla la película 'De pelo en pecho' (1985) de Michael J. Fox en una serie de fantasía oscura en la que seguiremos los pasos de un adolescente que se convierte en hombre lobo.Scott McCall (Tyler Posey, 'Sucedio en Manhattan'), es el típico pringadillo de instituto con una vida tranquila. Pero todo cambia cuando es mordido por un hombre lobo. Inmediatamente, Scott empieza a experimentar cambios en su cuerpo: colmillos afilados, pelo donde no debería haber pelo, garras... Con la luna llena se transforma completamente, y es entonces cuando es incapaz de controlar su naturaleza violenta de hombre lobo. A partir de ese momento debe controlarse para no hacer daño a los que le rodean y no ser descubierto. Pero por otro lado, la su conversión no es algo tan malo, ya que su vida pasa del anonimato a la popularidad en un santiamén.Su mejor amigo Stiles (Dylan O'Brien) será un gran apoyo a la hora de controlar sus nuevos poderes y enfrentarse a los peligros que a partir de ahora le acechan. Scott también se sentirá atraído por la misteriosa Allison (Crystal Reed, 'Skyline', 'Crazy, Stupid, Love'), la chica de sus sueños hasta que descubre que ella desciende de un linaje de cazadores de hombres lobo. Por último, también estará presente a partir de ahora en su vida Derek (Tyler Hoechlin, 'Carta Blanca', 'Camino a la perdición'), un misterioso hombre lobo que actuará como su mentor en todo lo sobrenatural y que le guiará para encontrar el ""lugar donde pertenece"".
    
      ";Drama, Fantasía
30;Las Chicas del Cable;"
Las Chicas del Cable, ambientada en los años 20 en la ciudad de Madrid, cuenta la historia de cuatro mujeres que proceden de distintos lugares del país. Estas mujeres llegan a la capital tras ser contratadas como operadoras de la centralita de la única compañía de telefonía que existe. En esta ciudad, rodeadas por un ambiente de progreso y modernidad, las mujeres se ven envueltas en celos, envidia y traición, así como también por el éxito, la amistad y el amor en el camino que las llevará a cumplir sus sueños.Se trata de una serie original de Netflix y la primera producida y rodada total e íntegramente en España. De la mano de la productora Bambú Producciones y con la dirección de Ramón Campos y Teresa Fernández Valdés, responsables de series de gran éxito como Gran Hotel, Gran Reserva o Velvet, esta ficción cuenta con una primera temporada de 16 episodios. La guionista de Bambú Producciones, Gema Neira (Guante Blanco), actúa como co-creadora.
    
      ";Drama, Histórico
31;The Resident;"
The Resident es un drama médico que sigue al prestigioso doctor de Park Memorial Hospital, Conrad Hawkins. Un profesional exigente y con un carácter fuerte que a veces es insoportable, así que cuando llega el joven Devon Pravesh al hospital después de acabar sus estudios descubre que su estancia allí con su superior no será fácil.La serie de FOX está dirigida por Philip Noyce y escrita por Amy Holden Jones, Hayley Schore y Roshan Sethi. Matt Czuchry (The Good Wife), Emily VanCamp (Revenge) y Manish Dayal (Halt and Catch Fire), Shaunette Renée Wilson (Billions), Valerie Cruz (The Following) y Bruce Greenwood (La joven Liga de la Justicia) son los protagonistas de esta ficción que tiene como productores ejecutivos a Antoine Fuqua, Amy Holden Jones, David Boorstein, Oly Obst.
    
      ";Drama, Médico
32;The Flash (2014);"
Barry Allen perdió a su madre con tan sólo 11 años cuando fue asesinada y su padre cargo con el crimen, siendo condenado injustamente. Años más tarde, Barry se convierte en un excelente investigador gracias a su mente privilegiada, algo que aprovecha para intentar averiguar lo que realmente ocurrió en el asesinato de su madre.
Sin embargo, todo cambiará cuando sea alcanzado por un rayo mientras trabajaba en un proyecto de acelerador de partículas. Después de estar nueve meses en coma, Barry Allen se despierta y ya no es el mismo. El rayo le ha dotado de una velocidad sobrenatural.
Concebida como un 'spin off' de la exitosa serie 'Arrow' protagonizada por Stephen Amell ('CSI: Las Vegas'), ‘The Flash’ ha sido producida por Bonanza Productions junto a Berlanti Productions y Warner Bross Televisión. Destacan en el reparto Grant Gustin ('Glee') como Barry Allen, Candice Patton ('The Game') como Iris West, Rick Cosnett ('The Vampire Diaries') como Eddie Thawne, Danielle Panabaker ('Justified') como Caitlin Snow, Carlos Valdes como Cisco Ramon, Tom Cavanagh ('Eli Stone') como Harrison Wells y Jesse L. Martin ('Ley y Orden') como el detective West.
";Fantasía, Acción
33;Fear The Walking Dead;"
Fear The Walking Dead es una serie dramática, spin-off de la producción de AMC, The Walking Dead. Esta serie, ambientada en Los Ángeles, California, explora el inicio del apocalipsis zombi desde el punto de vista de una familia desestructurada. Dicha familia está formada por una consejera de estudiantes llamada Madison Clark (Kim Dickens); su novio, Travis Manawa (Cliff Curtis), un profesor de inglés divorciado; su hija Alicia (Alycia Debnam-Carey); y su hijo de 19 años, Nick (Frank Dillane), adicto a la heroína. Ante el brote de un misterioso virus y la aparición de caminantes infectados, es necesario buscar la supervivencia. Así, cuando la sociedad empieza a desmoronarse, esta familia deberá adaptarse para sobrevivir o aferrarse a sus más grandes defectos para sobrevivir al inevitable colapso de la civilización.Esta serie no está basada en la novela gráfica de 'The Walking Dead' y cuenta con una historia independiente incluso a la serie de la televisión de la que deriva. La producción está a cargo de Robert Kirkman, Gale Anne Hurd y David Alpert.
";Drama, Terror, Suspense
